_id,earthquake_id,event_time,evt_dep,evt_lat,evt_lon,evt_mag,stations,network
6069ea0c34a3110fe6f18073,GT10418,2010-03-11T01:39:38.440000Z,2.1,33.2653,-116.71,3.5,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LRL"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18074,GT10536,2008-11-29T21:14:09.590000Z,10,35.9618,-117.3388,4.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18075,GT11059,2002-08-13T10:09:49.650000Z,7.3,34.167,-117.436,3,"[""BAK"",""BAR"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f18076,GT10564,2008-08-25T22:11:24.060000Z,6,33.861,-119.369,3.4,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18077,GT10680,2007-04-23T04:08:57.000000Z,6,34.215,-119.928,3.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""JCS"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PASC"",""PLM"",""RPV"",""RRX"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SMM"",""SNCC"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18078,GT10617,2008-01-28T01:28:48.000000Z,14.6,34.039,-117.243,3,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18079,GT10146,2013-06-28T17:45:48.000000Z,15.6,33.625,-116.696,3.2,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IKP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1807a,GT10105,2014-01-01T15:47:15.990000Z,11.7,35.6587,-118.4702,3.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IKP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1807b,GT10837,2005-04-16T19:18:12.450000Z,10.8,35.0898,-119.0865,5.2,"[""ADO"",""AGA"",""ARV"",""BAK"",""BAR"",""BBR"",""BBS"",""BCC"",""BFS"",""BLA"",""BOR"",""CAP"",""CHF"",""CIA"",""CLC"",""DEC"",""DEV"",""DGR"",""DJJ"",""DPP"",""DVT"",""EDW2"",""EML"",""FMP"",""GOR"",""GSC"",""HEC"",""ISA"",""JCS"",""LGU"",""LRL"",""MGE"",""MPP"",""MSJ"",""MWC"",""OLP"",""OSI"",""PAS"",""PDU"",""PLM"",""PLS"",""RPV"",""RRX"",""RSS"",""SBC"",""SBPX"",""SCI2"",""SCZ2"",""SDD"",""SDG"",""SDR"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""THX"",""TOV"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1807c,GT10385,2010-05-26T03:52:40.990000Z,1.3,32.127,-117.6519,3.3,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IBP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
